Module,Quantity,Unit,Sample Value,Search Terms,Premium Catalog ID,Premium Item,Premium Cost,Luxury Catalog ID,Luxury Item,Luxury Cost,Ultra Catalog ID,Ultra Item,Ultra Cost,Selected Premium ID,Selected Luxury ID,Selected Ultra ID
foundation,slab_concrete_cy,CY,244,"slab, concrete",cm13_P,"Concrete 4"" Slab (Minimum $1150)",8.0,,,,cm10_U,"Concrete Footers 18""",32.0,cm13_P,,cm10_U
foundation,footing_concrete_cy,CY,85,"footing, concrete",cm13_P,"Concrete 4"" Slab (Minimum $1150)",8.0,,,,cm12_U,Concrete Pier Footing(s) 3' x 3',400.0,cm13_P,,cm12_U
foundation,foundation_wall_cy,CY,153,"foundation, wall",cm4_P,Scaffold (walls above 6'),3.4,,,,,,,cm4_P,,
foundation,total_concrete_cy,CY,483,"total, concrete",cm13_P,"Concrete 4"" Slab (Minimum $1150)",8.0,,,,cm10_U,"Concrete Footers 18""",32.0,cm13_P,,cm10_U
foundation,foundation_waterproofing_sf,SF,7200,"foundation, waterproofing",,,,,,,,,,,,
foundation,below_grade_drainage_lf,LF,2400,"below, grade, drainage",ca1_P,Cabinets Custom Paint Grade,650.0,ca2_L,Cabinets Custom Stain Grade,1025.0,,,,ca1_P,ca2_L,
foundation,roof_drainage_lf,LF,1200,"roof, drainage",ro1_P,Roofing Recoat Flat Roof,1.1,ro3_L,Roofing Tear Off and Replace Flat Roof,5.65,ro2_U,Roofing Repair Flat Roof,2500.0,ro1_P,ro3_L,ro2_U
foundation,sump_pumps,EA,3,"sump, pumps",,,,,,,,,,,,
structural,conventional_lumber_bf,BF,17280,"conventional, lumber",,,,,,,,,,,,
structural,engineered_lumber_bf,BF,15120,"engineered, lumber",fl5_P,Engineered Hardwood Floor Prep (Allowance),1.0,fl1_L,Engineered Hardwood Install,4.25,fl2_U,Engineered Hardwood Material,12.0,fl5_P,fl1_L,fl2_U
structural,steel_framing_equivalent_bf,BF,10800,"steel, framing, equivalent",fr3_P,Framing of Patio,15.0,fr2_L,Framing of Garage Space,27.5,fr1_U,Framing of Liveable Space,55.0,fr3_P,fr2_L,fr1_U
