Item,Cost (Low),Cost (High),Cost(Mid),Unit,Qty,Markup Percentage,Cost Code,Category,ID,OriginalUnit,SearchItem,Keywords,Subcategory,Phase,EstimatorModule,QualityTier,ConstructionTier
Portable Toilet,350,350,350,MONTHLY,,70,1500,Preparations And Prelimanaries,pr1,Monthly,portable toilet,portable toilet,General,Other,,Economy,Premium
Dumpster,610,610,610,MONTHLY,,70,1741,Preparations And Prelimanaries,pr2,Monthly,dumpster,dumpster,General,Other,,Economy,Premium
Dumpster Additional Pickups,250,250,250,EA,,70,1741,Preparations And Prelimanaries,pr3,Each,dumpster additional pickups,additional dumpster pickups,General,Other,,Economy,Premium
Protection Material,1250,2500,1875,EA,,70,1760,Preparations And Prelimanaries,pr4,Each,protection material,material protection,General,Other,,Premium,Ultra-Luxury
Project Manager,2600,2600,2600,MONTHLY,,0,1010,Preparations And Prelimanaries,pr5,Monthly,project manager,manager project,General,Other,,Premium,Ultra-Luxury
Project Coordinator,0,0,0,EA,,,1011,Preparations And Prelimanaries,pr6,EA,project coordinator,coordinator project,General,Other,,Standard,Luxury
Superintendent,2600,3900,3250,MONTHLY,,0,1012,Preparations And Prelimanaries,pr7,Monthly,superintendent,superintendent,General,Other,,Premium,Ultra-Luxury
Project Administrator,1750,1750,1750,MONTHLY,,0,1013,Preparations And Prelimanaries,pr8,Monthly,project administrator,administrator project,General,Other,,Standard,Luxury
Construction Manager,0,0,0,EA,,,1014,Preparations And Prelimanaries,pr9,EA,construction manager,construction manager,General,Other,,Standard,Luxury
Carpenter / Tool Person,1400,1400,1400,MONTHLY,,0,1016,Preparations And Prelimanaries,pr10,Monthly,carpenter tool person,carpenter person tool,General,Other,,Standard,Luxury
Construction Site Tech ,900,900,900,MONTHLY,,0,1015,Preparations And Prelimanaries,pr11,Monthly,construction site tech,construction site tech,General,Other,,Standard,Luxury
Estimator,0,0,0,EA,,,1017,Preparations And Prelimanaries,pr12,EA,estimator,estimator,General,Other,,Standard,Luxury
Demo Interior Walls,1,1,1,SF,,70,2220,Demo,de1,Sq Ft,demo interior walls,demo interior walls,General,Other,,Economy,Premium
Demo Strip Drywall,1,1,1,SF,,70,2220,Demo,de2,Sq Ft,demo strip drywall,demo drywall strip,General,Other,,Economy,Premium
Demo Doors/Frame/Trim,50,75,62.5,EA,,70,2220,Demo,de3,Each,demo doors frame trim,demo doors frame trim,General,Other,,Standard,Luxury
Demo Stucco,5,5,5,SF,,70,2220,Demo,de4,Sq Ft,demo stucco,demo stucco,General,Other,,Standard,Luxury
Demo Stone Veneer,2,2,2,SF,,70,2220,Demo,de5,Sq Ft,demo stone veneer,demo stone veneer,General,Other,,Economy,Premium
Demo Windows,100,150,125,EA,,70,2220,Demo,de6,Each,demo windows,demo windows,General,Other,,Premium,Ultra-Luxury
Demo Sliding Glass Doors,200,400,300,EA,,70,2220,Demo,de7,Each,demo sliding glass doors,demo doors glass sliding,General,Other,,Premium,Ultra-Luxury
Demo Baseboards,400,600,500,WHOLE HOUSE,,70,2220,Demo,de8,Whole House,demo baseboards,baseboards demo,General,Other,,Premium,Ultra-Luxury
Demo Ceramic Tile,2,2,2,SF,,70,2220,Demo,de9,Sq Ft,demo ceramic tile,ceramic demo tile,General,Other,,Economy,Premium
